scenario,path_dijkstra,ete_dijkstra,ete_safe_dijkstra,rst_dijkstra,ete_dijkstra_rst,ete_safe_dijkstra_rst,rst_dijkstra_rst,path_dijkstra,path_dijkstra_rst
RsT2 - 51 - 66 - 1.35 - R1,"[""5"", ""63"", ""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]",46.72,16.42,26.84,46.72,16.42,29.19,"[""5"", ""63"", ""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]","[""5"", ""63"", ""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]"
RsT2 - 51 - 66 - 1.4 - R1,"[""5"", ""63"", ""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]",45.06,15.84,26.84,45.06,15.84,29.19,"[""5"", ""63"", ""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]","[""5"", ""63"", ""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]"
RsT2 - 51 - 66 - 1.51 - R1,"[""5"", ""63"", ""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]",41.77,14.69,26.84,41.77,14.69,29.19,"[""5"", ""63"", ""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]","[""5"", ""63"", ""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]"
RsT2 - 51 - 67 - 1.35 - R1,"[""5"", ""63"", ""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]",33.13,28.61,26.84,33.13,28.61,30.68,"[""5"", ""63"", ""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]","[""5"", ""63"", ""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]"
RsT2 - 51 - 67 - 1.4 - R1,"[""5"", ""63"", ""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]",31.94,27.59,26.84,31.94,27.59,30.68,"[""5"", ""63"", ""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]","[""5"", ""63"", ""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]"
RsT2 - 51 - 67 - 1.51 - R1,"[""5"", ""63"", ""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]",29.62,25.59,26.84,29.62,25.59,30.68,"[""5"", ""63"", ""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]","[""5"", ""63"", ""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]"
RsT2 - 51 - 68 - 1.35 - R1,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""68""]",21.15,16.75,26.84,21.15,16.75,33.12,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""68""]","[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""68""]"
RsT2 - 51 - 68 - 1.4 - R1,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""68""]",20.39,16.15,26.84,20.39,16.15,33.12,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""68""]","[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""68""]"
RsT2 - 51 - 68 - 1.51 - R1,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""68""]",18.91,14.98,26.84,18.91,14.98,33.12,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""68""]","[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""68""]"
RsT2 - 52 - 66 - 1.35 - R1,"[""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]",38.94,8.64,26.84,38.94,8.64,29.19,"[""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]","[""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]"
RsT2 - 52 - 66 - 1.4 - R1,"[""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]",37.56,8.34,26.84,37.56,8.34,29.19,"[""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]","[""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]"
RsT2 - 52 - 66 - 1.51 - R1,"[""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]",34.81,7.73,26.84,34.81,7.73,29.19,"[""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]","[""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]"
RsT2 - 52 - 67 - 1.35 - R1,"[""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]",25.35,20.83,26.84,25.35,20.83,30.68,"[""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]","[""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]"
RsT2 - 52 - 67 - 1.4 - R1,"[""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]",24.44,20.09,26.84,24.44,20.09,30.68,"[""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]","[""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]"
RsT2 - 52 - 67 - 1.51 - R1,"[""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]",22.66,18.63,26.84,22.66,18.63,30.68,"[""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]","[""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]"
RsT2 - 52 - 68 - 1.35 - R1,"[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]",15.76,11.36,26.84,15.76,11.36,33.12,"[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]","[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]"
RsT2 - 52 - 68 - 1.4 - R1,"[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]",15.19,10.95,26.84,15.19,10.95,33.12,"[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]","[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]"
RsT2 - 52 - 68 - 1.51 - R1,"[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]",14.09,10.16,26.84,14.09,10.16,33.12,"[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]","[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]"
RsT2 - 53 - 66 - 1.35 - R1,"[""9"", ""10"", ""59"", ""29"", ""27"", ""22"", ""26"", ""14"", ""12"", ""66""]",27.06,21.56,26.84,27.06,21.56,31.95,"[""9"", ""10"", ""59"", ""29"", ""27"", ""22"", ""26"", ""14"", ""12"", ""66""]","[""9"", ""10"", ""59"", ""29"", ""27"", ""22"", ""26"", ""14"", ""12"", ""66""]"
