{'node_id': '348337984', 'longitude': 100.414773, 'latitude': -0.9534742, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '514988460', 'longitude': 100.3759434, 'latitude': -0.940308, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '610954895', 'longitude': 100.3511489, 'latitude': -0.9066252, 'status': 'intersection', 'name': nan, 'eta': 41.27377336928794}
{'node_id': '610954896', 'longitude': 100.3510175, 'latitude': -0.907432, 'status': 'intersection', 'name': nan, 'eta': 41.6467658443832}
{'node_id': '610954897', 'longitude': 100.3508043, 'latitude': -0.9078977, 'status': 'intersection', 'name': nan, 'eta': 41.70329483173069}
{'node_id': '610954910', 'longitude': 100.3517783, 'latitude': -0.8880614, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '610954917', 'longitude': 100.3486732, 'latitude': -0.8786121, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '610954918', 'longitude': 100.3439481, 'latitude': -0.8692746, 'status': 'intersection', 'name': nan, 'eta': 42.14043203514689}
{'node_id': '610954933', 'longitude': 100.3287122, 'latitude': -0.8391078, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '610954948', 'longitude': 100.3156074, 'latitude': -0.8062963, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '610954955', 'longitude': 100.3281357, 'latitude': -0.8276242, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '610963340', 'longitude': 100.3536728, 'latitude': -0.9323866, 'status': 'intersection', 'name': nan, 'eta': 39.84331386179623}
{'node_id': '610963348', 'longitude': 100.3511937, 'latitude': -0.9251409, 'status': 'intersection', 'name': nan, 'eta': 38.04635394982658}
{'node_id': '610963357', 'longitude': 100.3497418, 'latitude': -0.9099127, 'status': 'intersection', 'name': nan, 'eta': 40.30152441587067}
{'node_id': '610975947', 'longitude': 100.3554385, 'latitude': -0.9578065, 'status': 'intersection', 'name': nan, 'eta': 38.24452929592179}
{'node_id': '610975951', 'longitude': 100.3637918, 'latitude': -0.9512878, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '610975954', 'longitude': 100.3544714, 'latitude': -0.9346695, 'status': 'intersection', 'name': nan, 'eta': 38.65915414001133}
