u,v,length,from,to,geometry
348337984,7628077957,35.96841523,348337984,7628077957,"LINESTRING (100.414773 -0.9534742, 100.4144583 -0.9535492)"
348337984,6095957312,64.61647898,6095957312,348337984,"LINESTRING (100.4146528 -0.9539962, 100.4147655 -0.9538743, 100.4148164 -0.9537595, 100.4148185 -0.9537213, 100.4148091 -0.953663, 100.414773 -0.9534742)"
348337984,5203408340,52.63111209,5203408340,348337984,"LINESTRING (100.4152339 -0.9533662, 100.414773 -0.9534742)"
514988460,6093220294,42.86947811,6093220294,514988460,"LINESTRING (100.3756775 -0.9400288, 100.3759434 -0.940308)"
514988460,1783806961,176.4511788,1783806961,514988460,"LINESTRING (100.3744335 -0.9407958, 100.3749669 -0.9406393, 100.3759434 -0.940308)"
514988460,6093219483,37.30298312,6093219483,514988460,"LINESTRING (100.3761964 -0.9405282, 100.3761691 -0.9405011, 100.3759434 -0.940308)"
610954895,6082329051,157.730192,6082329051,610954895,"LINESTRING (100.3507692 -0.9079709, 100.3508043 -0.9078977, 100.3509329 -0.9076457, 100.3510175 -0.907432, 100.3511113 -0.9071442, 100.3511354 -0.9070235, 100.3511462 -0.9069042, 100.3511489 -0.9066252)"
610954895,1449094473,31.5046834,610954895,1449094473,"LINESTRING (100.3511489 -0.9066252, 100.3511006 -0.9064764, 100.3510761 -0.9063519)"
610954895,7723140637,74.60261939,7723140637,610954895,"LINESTRING (100.3511662 -0.9059616, 100.3511804 -0.9060587, 100.3511918 -0.9062236, 100.3511938 -0.9064449, 100.3511743 -0.9065475, 100.3511489 -0.9066252)"
610954910,1923443921,12.01511631,1923443921,610954910,"LINESTRING (100.3516715 -0.8880779, 100.3517783 -0.8880614)"
610954910,4675395589,226.2792558,610954910,4675395589,"LINESTRING (100.3517783 -0.8880614, 100.3520798 -0.8898204, 100.3521153 -0.8900682)"
610954910,6076074337,287.6465924,6076074337,610954910,"LINESTRING (100.3512051 -0.8855394, 100.3515878 -0.8871054, 100.3517783 -0.8880614)"
610954917,1923443879,10.86464167,1923443879,610954917,"LINESTRING (100.3485845 -0.8786531, 100.3486732 -0.8786121)"
610954917,4675395602,140.8776985,610954917,4675395602,"LINESTRING (100.3486732 -0.8786121, 100.3489098 -0.8791592, 100.3491795 -0.8797735)"
610954917,4675395600,146.9156338,4675395600,610954917,"LINESTRING (100.3481457 -0.8774007, 100.3486732 -0.8786121)"
610954918,6073207459,33.47650477,610954918,6073207459,"LINESTRING (100.3439481 -0.8692746, 100.3439535 -0.869284, 100.3440879 -0.8695022, 100.344104 -0.8695321)"
610954918,2037658847,322.8568562,2037658847,610954918,"LINESTRING (100.3452618 -0.8668501, 100.3450334 -0.8670607, 100.3449503 -0.8671331, 100.3448557 -0.8672672, 100.3447182 -0.8674881, 100.3446552 -0.8676185, 100.3446237 -0.8677231, 100.3445855 -0.8678794, 100.3445439 -0.8680637, 100.3444031 -0.8688536, 100.3443873 -0.8689075, 100.3443662 -0.8689622, 100.3443354 -0.8690145, 100.3442458 -0.8691217, 100.3442053 -0.8691536, 100.3440715 -0.8692307, 100.3439481 -0.8692746)"
610954918,4675395606,66.79756131,4675395606,610954918,"LINESTRING (100.3436561 -0.8687496, 100.3439481 -0.8692746)"
610954933,6066791747,52.14696458,610954933,6066791747,"LINESTRING (100.3287122 -0.8391078, 100.3289368 -0.8395195)"
