id,Nama Tempat Evakuasi,Status Tempat Evakuasi,x (long),y (lat),geometry,osmID1,osmID2
EV1,MESJID MUHAJIRIN ,TES,100.3355835,-0.865563776,"-0.8655637757545859, 100.33558348483174",6322459609,6093176882
EV2,BAPPEDA PROV SUMBAR  ,TES,100.3612542,-0.925570148,"-0.9255701476583278, 100.36125417955073",1552174855,7668196052
EV3,MESJID RAYA SUMBAR  ,TES,100.3614994,-0.923748942,"-0.9237489417531113, 100.36149941823874",1552282480,7668196053
EV4,SMKN 5 PADANG  ,TES,100.3519558,-0.921360765,"-0.921360764701108, 100.35195581694886",6083099949,1588805919
EV5,SMPN 7 PADANG   ,TES,100.35151,-0.92073097,"-0.9207309702633619, 100.35150996379903",1588805195,1588805287
EV6,SMAN 1 PADANG  ,TES,100.3538502,-0.918700765,"-0.9187007651607016, 100.35385016342327",1610607235,1610690641
EV7,SMPN 25 PADANG  ,TES,100.3569928,-0.919104398,"-0.9191043977525865, 100.35699276975923",12596116684,1610690551
EV8,SDN 15 LOLONG   ,TES,100.3501637,-0.916364528,"-0.9163645277177784, 100.35016369591553",1438785933,1610604806
EV9,GEDUNG SEKOLAH AL AZHAR 32 PADANG  ,TES,100.3550122,-0.909988142,"-0.9099881419201897, 100.35501220880148",5436572157,7723196768
EV10,SMP N 4 PADANG  ,TES,100.3604343,-0.961363999,"-0.9613639990243614, 100.3604343478573",1538345970,1541517933
EV11,SMPN 2 PADANG  ,TES,100.3586875,-0.954610101,"-0.9546101008361417, 100.35868745536384",611243608,706926622
EV12,PASAR INPRES  ,TES,100.361102,-0.950852597,"-0.950852596982864, 100.36110199457536",611262204,1623214535
EV13,ESCAPE BUILDING KANTOR GEBERNUR  ,TES,100.3602932,-0.937610501,"-0.9376105014946159, 100.3602931939498",6083153547,1683467252
EV14,SD N 23 / 24 UJUNG GURUN  ,TES,100.3541236,-0.932483214,"-0.9324832143595915, 100.3541236114923",1576511291,1576511863
EV15,Lahan Kosong di Kelurahan Batipuh Panjang,TEA,100.3351628,-0.803859853,"-0.8038598534145291, 100.33516281182817",1626611300,10208721215
EV16,Bukit Anak AIA,TEA,100.3361819,-0.823800364,"-0.8238003643580851, 100.33618190135184",6049199737,6322458737
EV17,Lahan Kosong di Keluruhan Koto Pulai,TEA,100.3446936,-0.848010339,"-0.8480103387136206, 100.344693628784",1528056643,6054793468
EV18,Lahan didaerah Sungat Bangek. Kelurahan Balai Gadang,TEA,100.3561072,-0.82902105,"-0.8290210495517528, 100.3561072338985",6322459609,6093322585
EV19,Lahan Kosong di Kelurahan Koto Panjang Ikua Koto,TEA,100.3598313,-0.851534491,"-0.8515344906897627, 100.35983133056322",7652360361,2021317493
EV20,Areal Kantor Walikota. daerah By Pass,TEA,100.3862129,-0.875960617,"-0.875960617232437, 100.38621294357245",11002572891,11002572890
EV21,Areal Kantor TVRI. Daerah By Pass,TEA,100.3767447,-0.864075728,"-0.8640757276370623, 100.37674470499807",1626612225,7654901644
EV22,Gunung Pangilun,TEA,100.3703115,-0.913125847,"-0.9131258474089846, 100.3703115224315",7588934650,5332804571
EV23,Lahan kosong di Kelurahan Sungai Sapih,TEA,100.3972943,-0.903528,"-0.9035279997643729, 100.39729428840702",1539319780,6085578244
EV24,Lahan Kosong di Kelurahan Kubu Marapalam,TEA,100.382832,-0.950355769,"-0.9503557686462234, 100.38283199043319",1543966049,1543966081
