node,neighbors
348337984,"{""7628077957"": {""cost"": 35.9684152278641, ""ETA"": 61.78450782594381}, ""6095957312"": {""cost"": 64.6164789791649, ""ETA"": 61.78850852366131}, ""5203408340"": {""cost"": 52.6311120918028, ""ETA"": 61.82076976438233}}"
7628077957,"{""348337984"": {""cost"": 35.9684152278641, ""ETA"": 61.79922885257703}, ""7628077958"": {""cost"": 9.59959410618528, ""ETA"": 61.78429721032085}, ""12282386159"": {""cost"": 58.4545310083012, ""ETA"": 61.76058372155767}}"
6095957312,"{""348337984"": {""cost"": 64.6164789791649, ""ETA"": 61.79922885257703}}"
5203408340,"{""348337984"": {""cost"": 52.6311120918028, ""ETA"": 61.79922885257703}, ""6095957336"": {""cost"": 73.8128893815176, ""ETA"": 61.81666589101383}, ""7628077955"": {""cost"": 187.618557521505, ""ETA"": 61.89753771414664}}"
514988460,"{""6093220294"": {""cost"": 42.8694781068123, ""ETA"": 58.04797928183095}, ""1783806961"": {""cost"": 176.451178765821, ""ETA"": 58.01010866193164}, ""6093219483"": {""cost"": 37.3029831161438, ""ETA"": 58.088008270248}}"
6093220294,"{""514988460"": {""cost"": 42.8694781068123, ""ETA"": 58.07958672297877}, ""6082652104"": {""cost"": 40.3292979858739, ""ETA"": 58.03216963707058}, ""6082652109"": {""cost"": 45.3576153185809, ""ETA"": 58.04034044533468}}"
1783806961,"{""514988460"": {""cost"": 176.451178765821, ""ETA"": 58.07958672297877}, ""1537977051"": {""cost"": 46.4861917423809, ""ETA"": 57.99176933308171}, ""1783806782"": {""cost"": 48.7872683963573, ""ETA"": 58.00885008133597}}"
6093219483,"{""514988460"": {""cost"": 37.3029831161438, ""ETA"": 58.07958672297877}, ""6093219482"": {""cost"": 20.8252965727126, ""ETA"": 58.0804468763943}, ""7723137063"": {""cost"": 379.385317484162, ""ETA"": 58.17811898602023}}"
610954895,"{""6082329051"": {""cost"": 157.730191985806, ""ETA"": 58.21602687945629}, ""1449094473"": {""cost"": 31.5046833989204, ""ETA"": 58.24874284670626}, ""7723140637"": {""cost"": 74.6026193938865, ""ETA"": 58.25733135369143}}"
6082329051,"{""610954895"": {""cost"": 157.730191985806, ""ETA"": 58.24855462271491}, ""1359203614"": {""cost"": 47.5381017230713, ""ETA"": 58.20058424234182}, ""1438851941"": {""cost"": 181.311772012491, ""ETA"": 57.31090849606598}}"
1449094473,"{""610954895"": {""cost"": 31.5046833989204, ""ETA"": 58.24855462271491}, ""6082329023"": {""cost"": 42.0098069446028, ""ETA"": 58.25195277214663}, ""1449094477"": {""cost"": 108.008019187867, ""ETA"": 58.20695530196371}}"
7723140637,"{""610954895"": {""cost"": 74.6026193938865, ""ETA"": 58.24855462271491}, ""6082329021"": {""cost"": 3.14649741024646, ""ETA"": 58.25838029651283}, ""6082329023"": {""cost"": 14.4480380378634, ""ETA"": 58.25195277214663}}"
610954910,"{""1923443921"": {""cost"": 12.015116307763, ""ETA"": 59.37746881825819}, ""4675395589"": {""cost"": 226.279255756582, ""ETA"": 59.37409825612422}, ""6076074337"": {""cost"": 287.646592437, ""ETA"": 59.38496427255406}}"
1923443921,"{""610954910"": {""cost"": 12.015116307763, ""ETA"": 59.38230824548216}, ""6076447765"": {""cost"": 30.9161274396668, ""ETA"": 59.37877220031569}, ""2313978518"": {""cost"": 175.66025994085, ""ETA"": 59.37163335690655}}"
4675395589,"{""610954910"": {""cost"": 226.279255756582, ""ETA"": 59.38230824548216}, ""1650274248"": {""cost"": 259.739109297075, ""ETA"": 59.36724449549402}, ""4675395590"": {""cost"": 12.4132985194371, ""ETA"": 59.36909563046797}}"
6076074337,"{""610954910"": {""cost"": 287.646592437, ""ETA"": 59.38230824548216}, ""1709179350"": {""cost"": 208.813056819121, ""ETA"": 59.38209977274053}, ""7592209327"": {""cost"": 10.0434590163404, ""ETA"": 59.380902453879}}"
610954917,"{""1923443879"": {""cost"": 10.8646416657541, ""ETA"": 58.36254287798942}, ""4675395602"": {""cost"": 140.877698487674, ""ETA"": 58.36979117577483}, ""4675395600"": {""cost"": 146.915633751465, ""ETA"": 58.36016700397297}}"
1923443879,"{""610954917"": {""cost"": 10.8646416657541, ""ETA"": 58.36684398770717}, ""1923443922"": {""cost"": 69.3112580208294, ""ETA"": 58.35934011712581}, ""1923443883"": {""cost"": 63.6723455644732, ""ETA"": 58.36426595276693}}"
4675395602,"{""610954917"": {""cost"": 140.877698487674, ""ETA"": 58.36684398770717}, ""4675395603"": {""cost"": 10.8995922705703, ""ETA"": 58.36546981912911}, ""4675395604"": {""cost"": 291.637315103992, ""ETA"": 58.37066817395608}}"
4675395600,"{""610954917"": {""cost"": 146.915633751465, ""ETA"": 58.36684398770717}, ""4675395601"": {""cost"": 11.5510138913094, ""ETA"": 58.35558664008938}, ""7592209328"": {""cost"": 24.5354897518982, ""ETA"": 58.35902361598572}}"
610954918,"{""6073207459"": {""cost"": 33.476504766394, ""ETA"": 58.37374080620733}, ""2037658847"": {""cost"": 322.856856191221, ""ETA"": 58.47073226032884}, ""4675395606"": {""cost"": 66.7975613112503, ""ETA"": 58.36515458440158}}"
6073207459,"{""610954918"": {""cost"": 33.476504766394, ""ETA"": 58.37055122235671}, ""6073207456"": {""cost"": 97.8331667396768, ""ETA"": 58.40367988422457}, ""6074161406"": {""cost"": 37.0856597442362, ""ETA"": 58.37736228278825}}"
2037658847,"{""610954918"": {""cost"": 322.856856191221, ""ETA"": 58.37055122235671}, ""1924764865"": {""cost"": 85.9711899852625, ""ETA"": 58.50090760831434}, ""6073253228"": {""cost"": 61.8103934263411, ""ETA"": 58.48580150029576}}"
4675395606,"{""610954918"": {""cost"": 66.7975613112503, ""ETA"": 58.37055122235671}, ""4675395607"": {""cost"": 9.79818508438379, ""ETA"": 58.36144491525607}, ""4675395608"": {""cost"": 16.9547211666976, ""ETA"": 58.36403484699722}}"
610954933,"{""6066791747"": {""cost"": 52.1469645803717, ""ETA"": 58.39381124806803}, ""6073190110"": {""cost"": 96.6824095558114, ""ETA"": 58.45656941610341}, ""6079041287"": {""cost"": 350.131731228261, ""ETA"": 58.47397248910732}}"
6066791747,"{""610954933"": {""cost"": 52.1469645803717, ""ETA"": 58.4198392373954}, ""4675395623"": {""cost"": 136.674299405923, ""ETA"": 58.404162245875}, ""6066791739"": {""cost"": 71.428595671737, ""ETA"": 58.41825644642496}}"
6073190110,"{""610954933"": {""cost"": 96.6824095558114, ""ETA"": 58.4198392373954}, ""1626612169"": {""cost"": 293.474083693664, ""ETA"": 58.53672304272098}, ""6073190111"": {""cost"": 16.0745217657647, ""ETA"": 58.4546939732578}}"
