osmid,y,x,geometry,status,ETA
348337984,-0.9534742,100.414773,POINT (100.414773 -0.9534742),intersection,61.79922885
514988460,-0.940308,100.3759434,POINT (100.3759434 -0.940308),intersection,58.07958672
610954895,-0.9066252,100.3511489,POINT (100.3511489 -0.9066252),intersection,58.24855462
610954910,-0.8880614,100.3517783,POINT (100.3517783 -0.8880614),intersection,59.38230825
610954917,-0.8786121,100.3486732,POINT (100.3486732 -0.8786121),intersection,58.36684399
610954918,-0.8692746,100.3439481,POINT (100.3439481 -0.8692746),intersection,58.37055122
610954933,-0.8391078,100.3287122,POINT (100.3287122 -0.8391078),intersection,58.41983924
610954948,-0.8062963,100.3156074,POINT (100.3156074 -0.8062963),intersection,60.11746976
610954955,-0.8276242,100.3281357,POINT (100.3281357 -0.8276242),intersection,57.68935968
610963340,-0.9323866,100.3536728,POINT (100.3536728 -0.9323866),intersection,57.16167089
610963348,-0.9251409,100.3511937,POINT (100.3511937 -0.9251409),intersection,57.05310987
610963357,-0.9099127,100.3497418,POINT (100.3497418 -0.9099127),intersection,57.23962767
610975947,-0.9578065,100.3554385,POINT (100.3554385 -0.9578065),intersection,57.0890627
610975951,-0.9512878,100.3637918,POINT (100.3637918 -0.9512878),intersection,57.49622893
610975954,-0.9346695,100.3544714,POINT (100.3544714 -0.9346695),intersection,57.17564895
610975955,-0.9430981,100.3545218,POINT (100.3545218 -0.9430981),intersection,57.14669791
610975960,-0.933104,100.3542567,POINT (100.3542567 -0.933104),intersection,57.17887234
610975969,-0.9434328,100.3758931,POINT (100.3758931 -0.9434328),intersection,58.0574829
611011080,-1.0547876,100.4135037,POINT (100.4135037 -1.0547876),intersection,59.04128126
611011092,-0.9545433,100.3638612,POINT (100.3638612 -0.9545433),intersection,57.46928657
611011107,-0.9556519,100.3685678,POINT (100.3685678 -0.9556519),intersection,57.66698722
611011173,-1.0383998,100.4113157,POINT (100.4113157 -1.0383998),intersection,58.03851052
611011178,-1.0400886,100.4123029,POINT (100.4123029 -1.0400886),intersection,58.03512666
611011212,-1.0357148,100.4108548,POINT (100.4108548 -1.0357148),intersection,58.08679942
611011422,-0.9902437,100.382296,POINT (100.382296 -0.9902437),intersection,60.05512572
611011430,-0.9770117,100.3801441,POINT (100.3801441 -0.9770117),intersection,60.08657792
611011443,-0.9731966,100.3780975,POINT (100.3780975 -0.9731966),intersection,58.85093701
611011448,-0.9755119,100.3783957,POINT (100.3783957 -0.9755119),intersection,60.0602812
611011469,-0.9569101,100.3738574,POINT (100.3738574 -0.9569101),intersection,57.88523486
611011471,-0.9571217,100.375084,POINT (100.375084 -0.9571217),intersection,57.9355117
611011480,-0.9580591,100.3773904,POINT (100.3773904 -0.9580591),intersection,58.02460842
611243585,-0.9655368,100.3568505,POINT (100.3568505 -0.9655368),intersection,57.14293773
611243588,-0.9658844,100.3547554,POINT (100.3547554 -0.9658844),intersection,57.1025618
611243594,-0.9619695,100.3625388,POINT (100.3625388 -0.9619695),intersection,57.39206791
611243595,-0.9628878,100.3630563,POINT (100.3630563 -0.9628878),intersection,57.40494641
611243597,-0.9576167,100.3614096,POINT (100.3614096 -0.9576167),intersection,57.34609226
611243602,-0.9587021,100.3622941,POINT (100.3622941 -0.9587021),intersection,57.37278474
611243608,-0.9542872,100.3589523,POINT (100.3589523 -0.9542872),intersection,57.2623773
611243615,-0.955716,100.3617757,POINT (100.3617757 -0.955716),intersection,57.37622165
611243618,-0.9547652,100.3600259,POINT (100.3600259 -0.9547652),intersection,57.30325435
611249577,-0.9608791,100.3539381,POINT (100.3539381 -0.9608791),intersection,57.03522036
611255493,-0.9638216,100.3581981,POINT (100.3581981 -0.9638216),intersection,57.21791138
611255504,-0.9591026,100.3608183,POINT (100.3608183 -0.9591026),intersection,57.30563024
611255506,-0.9595772,100.3606595,POINT (100.3606595 -0.9595772),intersection,57.30657036
611256887,-0.9429285,100.3578774,POINT (100.3578774 -0.9429285),intersection,57.29570166
611256888,-0.9426737,100.3618833,POINT (100.3618833 -0.9426737),intersection,57.4689471
611262197,-0.9559754,100.3636157,POINT (100.3636157 -0.9559754),intersection,57.45213603
611262198,-0.9550724,100.3631101,POINT (100.3631101 -0.9550724),intersection,57.43581078
611262199,-0.9546653,100.3602191,POINT (100.3602191 -0.9546653),intersection,57.31253577
611262204,-0.9514129,100.3611891,POINT (100.3611891 -0.9514129),intersection,57.38300455
701738800,-0.905542,100.345008,POINT (100.345008 -0.905542),intersection,57.99863327
701738848,-0.912014,100.3703786,POINT (100.3703786 -0.912014),intersection,59.0259328
701738876,-0.9040278,100.3507211,POINT (100.3507211 -0.9040278),intersection,58.2617634
701738906,-0.9038202,100.3511001,POINT (100.3511001 -0.9038202),intersection,58.28052483
701738945,-0.9030654,100.3525219,POINT (100.3525219 -0.9030654),intersection,58.35061743
701738974,-0.9009169,100.3554404,POINT (100.3554404 -0.9009169),intersection,58.50183477
701738981,-0.9118413,100.3639095,POINT (100.3639095 -0.9118413),intersection,58.75364749
701739010,-0.9116564,100.3643728,POINT (100.3643728 -0.9116564),intersection,58.77573021
701739036,-0.9107415,100.3666445,POINT (100.3666445 -0.9107415),intersection,58.88410799
701739067,-0.9054459,100.3623818,POINT (100.3623818 -0.9054459),intersection,58.7442402
701739081,-0.9052572,100.3627597,POINT (100.3627597 -0.9052572),intersection,58.76271207
701739098,-0.9054491,100.3629741,POINT (100.3629741 -0.9054491),intersection,58.76959393
701739110,-0.9035449,100.361394,POINT (100.361394 -0.9035449),intersection,58.72484869
701739113,-0.9029479,100.3610683,POINT (100.3610683 -0.9029479),intersection,58.71812603
701739119,-0.9028868,100.3611703,POINT (100.3611703 -0.9028868),intersection,58.72323709
701739127,-0.9013208,100.3602513,POINT (100.3602513 -0.9013208),intersection,58.70290625
701739160,-0.8994861,100.357385,POINT (100.357385 -0.8994861),intersection,59.56589957
701739161,-0.8992742,100.357733,POINT (100.357733 -0.8992742),intersection,59.56908144
701739162,-0.9009554,100.3600271,POINT (100.3600271 -0.9009554),intersection,58.69775914
701739166,-0.9005988,100.3598055,POINT (100.3598055 -0.9005988),intersection,58.69262166
701739173,-0.90021,100.3595952,POINT (100.3595952 -0.90021),intersection,58.68836714
701739179,-0.899847,100.3593815,POINT (100.3593815 -0.899847),intersection,58.68365759
701739188,-0.8994988,100.3591683,POINT (100.3591683 -0.8994988),intersection,59.62871766
701739189,-0.8991154,100.3589436,POINT (100.3589436 -0.8991154),intersection,59.62371885
701739200,-0.8982363,100.3599787,POINT (100.3599787 -0.8982363),intersection,59.66506512
701739204,-0.8987633,100.3587489,POINT (100.3587489 -0.8987633),intersection,59.60501501
701739259,-0.8960547,100.3635184,POINT (100.3635184 -0.8960547),intersection,59.83464107
701739273,-0.896003,100.3640536,POINT (100.3640536 -0.896003),intersection,59.85854965
701739305,-0.9115532,100.3722471,POINT (100.3722471 -0.9115532),intersection,59.10764412
701739306,-0.9116422,100.3719274,POINT (100.3719274 -0.9116422),intersection,59.09286433
701739322,-0.9093269,100.374995,POINT (100.374995 -0.9093269),intersection,59.25588987
701739334,-0.9075237,100.3721492,POINT (100.3721492 -0.9075237),intersection,59.15862113
701739340,-0.9067768,100.3715162,POINT (100.3715162 -0.9067768),intersection,59.14034318
701739344,-0.9067819,100.3722219,POINT (100.3722219 -0.9067819),intersection,59.17057048
701739349,-0.9065381,100.3718944,POINT (100.3718944 -0.9065381),intersection,59.15942033
701739403,-0.9092106,100.3785389,POINT (100.3785389 -0.9092106),intersection,59.40947077
701739412,-0.9082741,100.3774466,POINT (100.3774466 -0.9082741),intersection,59.37361129
701739416,-0.9090135,100.3782244,POINT (100.3782244 -0.9090135),intersection,59.39828562
701739430,-0.9068531,100.376719,POINT (100.376719 -0.9068531),intersection,59.36276506
701739432,-0.9060819,100.3723914,POINT (100.3723914 -0.9060819),intersection,59.18619128
701739439,-0.9052271,100.3723334,POINT (100.3723334 -0.9052271),intersection,59.19391478
701739440,-0.9052764,100.3724656,POINT (100.3724656 -0.9052764),intersection,59.19899753
701739460,-0.9054048,100.3727623,POINT (100.3727623 -0.9054048),intersection,59.21019353
701739477,-0.9049096,100.3723326,POINT (100.3723326 -0.9049096),intersection,59.20558942
701739507,-0.9052601,100.3751606,POINT (100.3751606 -0.9052601),intersection,59.31483691
701768156,-0.9081338,100.3636952,POINT (100.3636952 -0.9081338),intersection,58.79636993
701768161,-0.9080101,100.3636865,POINT (100.3636865 -0.9080101),intersection,58.79747458
701768187,-0.9075163,100.3660753,POINT (100.3660753 -0.9075163),intersection,58.9058936
